addr,localhost:50060
total,2000
concurrency,200
elapsed_s,2.6674602031707764
throughput_rps,749.7768842521531
p50_ms,262.2504234313965
p95_ms,280.9748649597168
p99_ms,290.499210357666
ok_count,2000
