addr,localhost:50060
total,2000
concurrency,100
elapsed_s,3.9871931076049805
throughput_rps,501.6060035279696
p50_ms,196.05231285095215
p95_ms,219.6178436279297
p99_ms,228.50608825683594
ok_count,2000
