addr,localhost:50050
total,2000
concurrency,100
elapsed_s,9.674836874008179
throughput_rps,206.72183170065398
p50_ms,454.3261528015137
p95_ms,658.0395698547363
p99_ms,737.2267246246338
ok_count,2000
