addr,localhost:50050
total,2000
concurrency,50
elapsed_s,8.354599714279175
throughput_rps,239.3890872571335
p50_ms,200.4389762878418
p95_ms,266.64137840270996
p99_ms,286.7321968078613
ok_count,2000
